id,nombre,precio,fecha
125,Cámara 681,4761.28,2024-02-03
126,Cable HDMI 977,206.01,2024-04-05
127,Router 172,1668.39,2024-06-28
128,Parlante 115,1585.57,2024-05-10
129,Teclado 844,2276.5,2025-02-02
130,Parlante 713,3727.86,2024-06-09
131,Smartwatch 825,314.12,2024-09-29
132,Disco Duro 349,1527.24,2024-09-27
133,Smartphone 889,2708.71,2024-02-23
134,Monitor 871,670.32,2025-03-22
135,Impresora 719,1337.54,2024-12-21
136,Teclado 546,139.17,2024-07-21
137,Cargador 279,2334.37,2024-02-09
138,Memoria USB 342,3551.35,2024-11-09
139,Monitor 616,496.4,2024-08-09
140,Mouse Pad 606,3961.78,2025-04-26
141,Cámara 793,4425.02,2024-09-28
142,Parlante 365,4032.2,2025-02-20
143,Cargador 507,4019.72,2024-03-27
144,Mouse 521,4710.92,2024-12-29
145,Disco Duro 810,1042.59,2024-01-24
146,Tablet 548,601.07,2025-04-01
147,Micrófono 603,2666.45,2025-04-17
148,Monitor 249,2873.15,2024-08-04
149,Memoria USB 946,3772.42,2024-08-30
150,Laptop 584,4752.86,2024-04-07
151,Router 440,3210.91,2025-04-21
152,Auriculares 744,3841.21,2025-01-31
153,Cargador 603,4492.47,2024-02-16
154,Teclado 600,907.63,2024-10-18
155,Smartwatch 521,1622.69,2024-11-12
156,Tablet 497,4411.83,2024-04-05
157,Impresora 182,2052.66,2025-03-10
158,Disco Duro 699,4525.83,2024-11-12
159,Laptop 770,2817.56,2024-11-17
160,Router 941,369.59,2025-05-06
161,Cable HDMI 924,1207.42,2024-06-10
162,Micrófono 582,179.8,2024-09-25
163,Laptop 132,3464.59,2024-04-04
164,Auriculares 600,78.63,2025-03-19
165,Auriculares 371,4551.29,2024-06-29
166,Smartwatch 375,4188.6,2024-11-12
167,Mouse 410,1030.3,2025-04-04
168,Cámara 856,1700.1,2024-01-02
169,Mouse 629,3651.47,2025-02-02
170,Smartwatch 568,4388.37,2025-01-31
171,Disco Duro 978,2188.22,2025-04-13
172,Disco Duro 950,2039.94,2024-11-10
173,Smartphone 255,4146.64,2024-08-08
174,Teclado 282,1972.6,2025-04-07
175,Laptop 602,4174.58,2024-04-16
176,Impresora 517,314.4,2024-07-23
177,Cable HDMI 521,3825.28,2025-04-19
178,Impresora 273,86.66,2025-01-25
179,Teclado 394,4584.93,2024-02-18
180,Router 335,4235.21,2024-03-03
181,Cámara 388,3317.2,2024-05-27
182,Impresora 354,2603.89,2024-07-15
183,Cámara 775,3582.83,2024-02-19
184,Teclado 312,3357.49,2024-08-10
185,Router 539,2600.42,2024-11-12
186,Tablet 104,3659.65,2024-08-16
187,Cámara 350,1179.61,2024-07-18
188,Smartwatch 167,3363.35,2024-04-13
189,Mouse 391,4581.79,2025-04-25
190,Parlante 821,3918.75,2024-04-19
191,Micrófono 949,584.25,2024-06-22
192,Memoria USB 474,3535.43,2025-01-30
193,SSD 282,2588.03,2024-05-06
194,Router 358,3990.46,2024-04-15
195,Cámara 395,4338.73,2024-12-01
196,Parlante 813,4653.31,2024-06-03
197,Smartwatch 664,2551.0,2024-03-02
198,Parlante 149,2392.99,2024-02-13
199,SSD 294,1270.14,2025-05-06
200,Proyector 988,3156.23,2024-12-30
201,Cargador 277,1166.44,2024-02-11
202,Router 756,1731.54,2024-04-02
203,Router 437,648.5,2024-09-06
204,Router 721,2281.23,2025-02-07
205,Mouse 981,3271.11,2024-01-10
206,Cargador 682,797.91,2025-02-10
207,Disco Duro 170,4489.32,2024-01-24
208,Monitor 756,826.23,2024-03-07
209,Cargador 586,52.64,2024-06-13
210,Mouse Pad 639,1956.65,2024-11-26
211,Proyector 800,1075.69,2024-11-20
212,SSD 370,4951.33,2024-12-06
213,Cable HDMI 882,1609.75,2024-07-08
214,Teclado 231,763.57,2024-06-14
215,Laptop 825,2337.85,2025-01-11
216,Teclado 186,462.87,2024-03-26
217,Monitor 554,2532.67,2024-09-05
218,Mouse Pad 812,2114.8,2024-02-23
219,Cargador 746,2340.22,2024-03-15
220,SSD 651,608.77,2025-03-26
221,Cable HDMI 331,4248.42,2024-09-18
222,Auriculares 536,3477.04,2024-06-10
223,Monitor 449,988.18,2024-05-09
224,Proyector 609,2474.37,2025-04-23
225,Auriculares 365,3721.07,2024-04-01
226,Router 926,1399.34,2024-04-15
227,Cámara 784,1162.96,2024-07-11
228,Monitor 682,685.51,2025-05-12
229,Cámara 505,1890.18,2025-02-04
230,Cargador 578,1308.2,2024-12-04
231,Router 203,3781.8,2025-02-06
232,Smartwatch 294,749.46,2024-10-05
233,Mouse 969,4460.66,2024-04-09
234,Memoria USB 504,234.32,2024-08-18
235,Mouse Pad 876,4067.27,2025-03-07
236,Monitor 691,3235.73,2024-04-21
237,Smartwatch 771,3804.32,2024-05-06
238,Micrófono 341,302.37,2024-01-10
239,SSD 930,317.71,2025-03-04
240,Cable HDMI 789,713.33,2025-05-06
241,Smartphone 675,500.9,2024-01-11
242,Smartphone 382,95.64,2024-04-10
243,Cámara 229,2590.75,2025-05-12
244,Smartphone 810,1888.76,2024-06-26
245,Cámara 781,3282.71,2025-03-09
246,Laptop 272,3368.83,2024-11-11
247,Impresora 713,640.07,2024-11-09
248,Mouse 616,269.53,2024-03-23
249,SSD 377,1722.97,2024-08-17
250,Smartphone 160,4901.65,2025-03-11
251,Mouse 124,2666.61,2024-11-01
252,Disco Duro 184,2565.07,2024-09-13
253,Cargador 973,3509.68,2024-07-05
254,Cable HDMI 990,2421.61,2024-09-18
255,Mouse Pad 441,2058.45,2024-03-02
256,Router 791,3281.08,2024-11-30
257,Cable HDMI 519,1138.6,2025-03-18
258,Router 526,2931.82,2025-05-07
259,Mouse Pad 664,1417.14,2025-01-28
260,Parlante 777,2440.42,2024-04-26
261,SSD 836,173.7,2024-05-12
262,Smartphone 842,2823.64,2025-01-17
263,Memoria USB 787,1918.07,2025-04-18
264,Laptop 821,3963.13,2024-05-18
265,Micrófono 683,2450.81,2024-05-10
266,SSD 142,2786.01,2025-03-23
267,SSD 331,3344.91,2024-03-22
268,Laptop 918,2810.2,2025-03-14
269,Disco Duro 994,2380.07,2024-06-13
270,Tablet 854,1190.86,2025-02-16
271,Mouse 645,4051.68,2025-03-24
272,Auriculares 442,1829.22,2024-05-30
273,Router 764,1157.33,2024-08-22
274,Disco Duro 824,1881.85,2024-01-24
275,Smartwatch 764,1012.61,2025-04-18
276,Disco Duro 628,1354.25,2024-05-15
277,Disco Duro 330,1385.64,2024-10-29
278,Memoria USB 444,4381.81,2024-10-26
279,Smartphone 325,3153.07,2024-03-09
280,Auriculares 187,1851.16,2024-01-26
281,Cargador 589,2062.05,2025-05-02
282,SSD 259,3465.17,2025-04-12
283,Teclado 581,4673.96,2024-07-08
284,Cable HDMI 525,3385.59,2025-01-16
285,SSD 119,4572.75,2025-03-02
286,Proyector 731,4437.87,2025-01-12
287,Smartphone 196,2366.15,2024-06-06
288,Cámara 961,3562.07,2024-02-29
289,Tablet 557,264.34,2024-11-20
290,Mouse 280,4377.42,2025-01-16
291,Cable HDMI 335,3409.17,2024-08-02
292,Tablet 640,397.62,2024-02-09
293,Cargador 173,810.9,2025-04-30
294,SSD 876,563.75,2024-06-01
295,Proyector 348,4696.46,2024-10-23
296,SSD 500,2422.98,2025-04-15
297,Mouse Pad 390,775.32,2024-12-14
298,Cable HDMI 392,256.6,2024-03-15
299,Teclado 214,3856.74,2024-07-14
300,Teclado 586,416.14,2024-07-08
301,SSD 320,1514.2,2024-10-21
302,Impresora 807,3367.54,2025-01-12
303,Cable HDMI 667,3238.93,2024-08-26
304,Disco Duro 998,3730.65,2025-02-28
305,Cámara 167,3673.76,2024-03-11
306,Mouse 209,2307.65,2024-10-11
307,SSD 390,4044.54,2024-08-10
308,Smartwatch 381,3488.6,2024-10-07
309,Disco Duro 312,655.59,2024-10-15
310,Tablet 776,4258.28,2024-07-24
311,SSD 786,350.61,2024-03-27
312,Mouse Pad 709,1979.36,2024-02-02
313,Monitor 427,1982.53,2024-09-13
314,Cable HDMI 103,3447.96,2024-04-18
315,Memoria USB 472,3515.87,2024-03-27
316,Teclado 887,1501.63,2024-02-02
317,Tablet 362,1875.06,2024-01-23
318,Tablet 642,4536.77,2025-05-13
319,Cámara 370,2231.05,2025-03-14
320,Disco Duro 517,2724.62,2025-03-01
321,Mouse Pad 987,4399.41,2025-04-01
322,Parlante 801,864.76,2024-12-12
323,Cable HDMI 897,1181.51,2024-05-06
324,Laptop 549,1142.14,2024-04-24
325,Cable HDMI 550,4873.06,2024-09-24
326,Router 881,953.9,2024-05-29
327,Smartwatch 426,3625.38,2024-08-10
328,Mouse Pad 497,3996.02,2024-12-30
329,Cable HDMI 854,252.64,2024-10-13
330,Memoria USB 369,3370.98,2024-12-14
331,Tablet 110,4999.27,2024-01-14
332,Proyector 709,1808.99,2024-08-10
333,Auriculares 722,4874.52,2024-10-28
334,Memoria USB 616,2038.11,2025-02-07
335,Proyector 396,3903.82,2025-02-16
336,Impresora 668,2287.37,2024-06-14
337,Mouse Pad 454,4300.31,2024-11-12
338,Disco Duro 416,725.43,2024-04-14
339,Monitor 243,4782.21,2025-03-01
340,Proyector 138,2941.28,2025-03-12
341,Cable HDMI 400,215.82,2024-03-05
342,Parlante 475,585.89,2024-08-12
343,Mouse Pad 178,3619.95,2025-03-12
344,Disco Duro 294,2822.3,2024-08-08
345,Micrófono 201,1932.0,2024-07-27
346,Smartphone 391,1524.47,2024-11-07
347,Memoria USB 318,568.09,2024-04-07
348,Disco Duro 244,2631.0,2024-06-08
349,Micrófono 359,541.29,2024-05-18
350,Impresora 277,3706.86,2024-02-13
351,Cable HDMI 807,3317.93,2024-11-19
352,Tablet 417,133.37,2025-01-08
353,Parlante 207,2918.53,2024-04-09
354,Mouse 763,3620.42,2024-01-13
355,SSD 709,2673.09,2025-01-27
356,Smartphone 994,383.77,2024-09-16
357,Tablet 720,1541.53,2024-12-15
358,Tablet 243,243.89,2024-08-12
359,Auriculares 649,1115.98,2025-02-06
360,Auriculares 746,1402.01,2024-04-30
361,Teclado 805,280.11,2025-03-25
362,Laptop 323,3379.37,2024-03-09
363,Mouse 967,2093.53,2024-06-12
364,Parlante 236,1322.03,2025-01-10
365,Parlante 467,505.55,2025-02-10
366,Router 813,247.17,2025-01-26
367,Laptop 600,3495.9,2024-05-24
368,Cámara 266,1771.94,2024-10-20
369,Cámara 221,2386.89,2024-08-23
370,Parlante 214,275.72,2024-04-03
371,Disco Duro 915,3592.94,2024-04-08
372,Smartwatch 614,176.91,2024-01-17
373,Tablet 673,4538.74,2024-12-26
374,Impresora 749,4021.95,2024-01-08
375,Router 856,1346.67,2024-07-17
376,Monitor 885,1904.88,2024-06-19
377,Cable HDMI 374,3402.87,2024-02-03
378,Micrófono 773,4597.29,2024-11-21
379,Monitor 760,3549.63,2024-03-16
380,Impresora 580,2067.63,2024-03-25
381,Cargador 849,2460.99,2024-02-02
382,Mouse Pad 408,1777.11,2024-09-16
383,Teclado 970,215.82,2024-08-01
384,Memoria USB 238,1295.94,2024-04-01
385,Teclado 654,3567.48,2024-08-04
386,Cargador 365,2031.07,2024-08-11
387,Mouse Pad 314,1755.96,2024-06-25
388,Laptop 228,4879.22,2025-05-08
389,Cable HDMI 694,1131.32,2024-01-14
390,Auriculares 157,4170.29,2024-04-20
391,SSD 405,4478.3,2024-08-24
392,Proyector 782,1190.35,2024-12-13
393,SSD 971,1120.04,2024-03-15
394,Parlante 544,1333.43,2024-03-16
395,Cámara 274,305.22,2024-02-20
396,Proyector 923,4619.59,2024-03-17
397,Cable HDMI 981,3947.41,2024-04-24
398,Monitor 997,1439.39,2024-01-17
399,Cable HDMI 523,3771.28,2024-03-06
400,Cargador 803,1132.51,2024-11-26
401,Laptop 346,2118.94,2025-03-30
402,Cargador 773,3275.92,2024-10-02
403,Smartphone 116,4941.33,2024-07-03
404,Impresora 155,1797.79,2024-02-23
405,Smartphone 617,4381.85,2024-11-11
406,Proyector 290,581.36,2024-10-13
407,Memoria USB 946,4101.04,2024-09-19
408,Teclado 744,1968.87,2024-04-26
409,Laptop 773,1446.79,2024-12-30
410,Cargador 832,2077.04,2024-05-22
411,Parlante 571,3254.94,2025-04-17
412,Teclado 628,3993.65,2024-07-14
413,Cargador 631,2688.62,2025-02-22
414,Smartwatch 686,586.01,2024-12-15
415,Auriculares 813,2356.61,2024-12-28
416,Mouse Pad 198,896.05,2024-06-01
417,Micrófono 340,4749.53,2025-04-08
418,Impresora 651,4738.15,2024-01-18
419,Cable HDMI 348,724.04,2024-03-22
420,Impresora 713,3983.83,2025-03-02
421,Teclado 696,885.69,2025-04-25
422,Disco Duro 934,4600.53,2024-11-28
423,SSD 280,4126.59,2024-10-28
424,SSD 422,1812.71,2025-03-30
425,Smartphone 155,1437.61,2024-12-05
426,Tablet 397,249.51,2024-07-01
427,Monitor 675,952.84,2024-07-31
428,Smartwatch 642,825.95,2024-11-07
429,Impresora 234,2711.88,2024-07-11
430,Laptop 957,4861.49,2024-09-03
431,Laptop 865,4510.69,2024-08-28
432,Cargador 540,1530.27,2024-12-12
433,SSD 871,4996.1,2025-04-21
434,Parlante 904,4709.97,2024-10-05
435,Mouse Pad 943,3234.42,2024-12-31
436,Mouse Pad 586,3949.86,2025-04-05
437,Laptop 238,1715.73,2024-03-22
438,Cargador 355,3372.24,2024-07-26
439,Proyector 620,165.85,2024-04-28
440,Cámara 328,1319.76,2024-10-21
441,Memoria USB 486,315.58,2024-07-06
442,Proyector 837,3337.92,2024-05-20
443,Auriculares 903,4499.64,2024-09-17
444,Parlante 789,3349.06,2024-06-06
445,SSD 588,3031.52,2025-01-17
446,Tablet 354,1734.24,2024-09-28
447,Router 741,4411.43,2024-10-27
448,Parlante 215,4079.03,2024-08-07
449,Cable HDMI 445,3274.86,2024-12-31
450,Monitor 748,503.42,2025-05-09
451,SSD 335,2632.76,2024-08-06
452,Parlante 368,540.33,2024-08-29
453,Router 543,3997.0,2024-08-04
454,Teclado 204,4528.7,2025-03-04
455,SSD 313,265.28,2025-01-02
456,Smartwatch 144,2097.05,2025-04-12
457,Cámara 338,1876.33,2024-10-24
458,SSD 762,450.06,2025-03-15
459,Impresora 764,1047.69,2024-06-19
460,Monitor 367,279.17,2024-07-13
461,Smartphone 431,3603.29,2024-01-09
462,SSD 917,4454.85,2025-02-13
463,Memoria USB 483,1272.35,2024-05-30
464,Parlante 684,2766.28,2024-02-26
465,Mouse Pad 500,418.87,2025-03-06
466,Teclado 761,4039.05,2024-03-03
467,Cargador 954,4497.91,2024-11-20
468,Memoria USB 184,2230.31,2025-02-20
469,Monitor 457,1181.43,2025-04-04
470,Teclado 986,2759.73,2024-12-16
471,Smartwatch 636,1909.01,2024-11-27
472,Smartphone 103,962.79,2025-02-04
473,Cargador 541,4609.02,2024-08-30
474,Micrófono 912,1428.78,2025-03-11
475,Router 852,2586.29,2025-02-14
476,Proyector 638,3249.74,2024-03-25
477,Proyector 837,156.76,2024-09-27
478,Smartwatch 489,4844.36,2024-07-21
479,Cable HDMI 475,197.59,2024-11-09
480,Tablet 219,1899.83,2025-01-21
481,Cargador 377,4426.6,2025-02-05
482,Impresora 490,2611.41,2024-06-29
483,Mouse 988,4069.82,2024-04-10
484,Smartphone 801,1079.23,2024-07-14
485,Smartwatch 195,3046.58,2024-10-10
486,Micrófono 959,485.04,2024-05-26
487,Memoria USB 287,107.44,2024-08-17
488,Memoria USB 596,791.6,2024-03-21
489,Router 808,3792.19,2025-03-18
490,Disco Duro 470,4553.93,2024-04-30
491,Impresora 661,1280.3,2024-03-14
492,Auriculares 803,2568.81,2024-12-24
493,Cargador 278,4669.39,2024-12-22
494,Smartwatch 590,91.45,2024-01-26
495,Cargador 575,537.14,2024-10-26
496,Mouse Pad 447,3313.1,2025-04-06
497,Disco Duro 677,2497.23,2024-10-01
498,Micrófono 840,1583.67,2024-02-08
499,Parlante 744,4106.26,2024-11-26
500,Cámara 700,4042.02,2025-01-09
501,Micrófono 619,4392.52,2025-02-24
502,Tablet 444,4178.6,2025-03-10
503,Impresora 703,3647.81,2024-03-03
504,Cargador 947,148.13,2024-12-27
505,Disco Duro 225,3569.52,2024-08-31
506,Auriculares 348,2022.88,2024-08-01
507,Smartwatch 714,1769.79,2024-10-16
508,Proyector 214,2778.68,2024-12-27
509,Router 656,1099.68,2024-02-18
510,Smartphone 175,1540.43,2024-08-01
511,Tablet 821,3792.09,2024-03-25
512,Disco Duro 122,533.49,2024-06-28
513,Teclado 783,524.64,2024-10-18
514,SSD 345,2954.0,2025-03-22
515,Disco Duro 719,4682.13,2025-03-19
516,Cable HDMI 889,2326.69,2024-04-19
517,Teclado 609,136.5,2024-10-16
518,Impresora 845,965.44,2024-06-04
519,SSD 695,4624.32,2024-10-31
520,Smartphone 604,2337.07,2024-01-18
521,Disco Duro 383,4974.5,2025-05-12
522,Auriculares 597,708.14,2025-03-02
523,Teclado 414,1234.31,2025-01-11
524,Auriculares 108,3652.06,2024-06-12
525,Mouse 586,4715.33,2025-02-14
526,Cámara 763,991.69,2025-02-05
527,Memoria USB 638,3628.38,2025-05-10
528,Router 942,305.37,2024-04-12
529,Cable HDMI 351,184.23,2024-08-11
530,Smartphone 147,3923.74,2024-03-26
531,Mouse Pad 786,3163.02,2024-10-22
532,Auriculares 336,1713.54,2024-04-17
533,Router 826,709.46,2024-12-17
534,Teclado 531,1158.55,2024-05-29
535,Cámara 850,438.52,2024-10-05
536,Proyector 163,252.84,2024-12-19
537,Smartwatch 435,1037.92,2024-03-01
538,Auriculares 130,3688.17,2024-04-24
539,Mouse 101,2851.32,2024-08-05
540,Teclado 438,4074.1,2024-05-15
541,Smartphone 874,941.65,2024-05-08
542,Tablet 733,3969.87,2025-03-30
543,Mouse 425,529.81,2024-12-08
544,Disco Duro 252,3257.36,2024-06-07
545,Tablet 940,1998.76,2024-09-29
546,Proyector 567,4659.86,2025-02-25
547,Monitor 451,4564.59,2025-04-21
548,Monitor 111,3580.99,2024-05-05
549,Impresora 719,4926.59,2024-03-16
550,Mouse 902,2071.05,2024-03-15
551,Monitor 741,2402.11,2024-02-26
552,Laptop 677,2026.37,2025-01-30
553,Disco Duro 355,1544.75,2024-09-04
554,Micrófono 865,1307.9,2024-03-11
555,Smartwatch 119,3081.39,2024-06-03
556,Tablet 225,2895.17,2024-11-25
557,Micrófono 712,3830.88,2024-09-11
558,Proyector 849,4832.44,2025-04-07
559,Router 499,1321.68,2024-02-27
560,Tablet 933,508.92,2024-04-08
561,Auriculares 161,1336.65,2024-09-01
562,Disco Duro 634,3883.69,2024-02-01
563,Smartphone 407,485.01,2024-05-24
564,Cámara 874,713.75,2024-06-04
565,Monitor 513,3410.7,2024-08-07
566,Monitor 491,2096.19,2024-08-11
567,Cable HDMI 153,3963.09,2024-07-14
568,Parlante 268,59.77,2024-10-02
569,Teclado 776,4120.8,2024-11-07
570,Router 768,2182.07,2024-11-16
571,Tablet 422,1099.45,2024-07-16
572,Cable HDMI 894,2874.56,2025-03-31
573,Memoria USB 249,1468.6,2025-01-25
574,Cámara 879,2401.16,2025-03-13
575,Disco Duro 697,659.61,2024-12-13
576,Cable HDMI 280,1461.87,2025-04-08
577,Memoria USB 809,3302.48,2024-11-25
578,Monitor 999,4694.38,2025-03-12
579,Disco Duro 625,4864.18,2024-06-04
580,Router 467,3922.68,2024-06-16
581,Router 970,2725.13,2024-05-05
582,Cable HDMI 201,406.18,2024-02-18
583,Tablet 192,247.1,2025-03-06
584,Memoria USB 302,2877.06,2025-04-27
585,Proyector 566,229.44,2024-03-25
586,Disco Duro 208,2503.26,2024-11-10
587,Parlante 428,2705.55,2024-03-07
588,Router 197,4442.29,2025-01-29
589,Monitor 784,1846.29,2024-02-06
590,Cargador 280,650.25,2024-03-07
591,Monitor 367,4040.69,2025-05-07
592,SSD 444,2302.62,2024-10-27
593,Teclado 939,2974.45,2024-10-18
594,Smartwatch 784,1655.62,2024-08-13
595,Tablet 732,4243.32,2024-10-01
596,Micrófono 434,1988.21,2024-09-11
597,Smartphone 488,4285.98,2024-07-27
598,Auriculares 360,2224.54,2024-12-10
599,Cámara 992,3875.38,2024-11-15
600,Monitor 476,3362.16,2024-01-08
601,Cargador 102,961.2,2024-03-18
602,Disco Duro 521,2065.32,2024-09-01
603,Memoria USB 810,3665.79,2024-03-26
604,Smartwatch 509,3278.66,2024-10-24
605,Router 414,136.38,2024-01-20
606,Laptop 534,528.58,2024-09-11
607,Tablet 247,3430.3,2024-02-25
608,Monitor 208,2786.66,2024-12-25
609,Parlante 326,3753.16,2024-01-18
610,Cable HDMI 914,4095.48,2025-03-24
611,Memoria USB 466,4213.8,2025-01-13
612,Smartwatch 234,3858.64,2025-01-07
613,Auriculares 448,4179.54,2024-01-28
614,Parlante 891,4595.73,2025-03-18
615,Cargador 936,1541.96,2024-06-03
616,Cargador 530,3331.72,2024-05-25
617,Mouse Pad 500,1254.86,2025-01-28
618,Smartphone 155,2839.14,2024-03-01
619,Mouse Pad 376,4221.38,2024-11-24
620,Laptop 457,4448.1,2024-03-14
621,Mouse Pad 886,3479.25,2024-02-13
622,Micrófono 707,1112.89,2024-06-26
623,Smartwatch 791,3101.05,2024-12-01
624,Auriculares 920,2145.56,2024-05-25
625,Mouse Pad 454,2115.31,2024-06-02
626,Smartwatch 734,1465.26,2025-04-23
627,SSD 333,3063.73,2024-09-28
628,Memoria USB 499,2114.49,2024-07-06
629,SSD 652,2839.66,2024-10-11
630,Laptop 800,3601.02,2025-01-23
631,Memoria USB 185,1903.67,2025-01-03
632,Cable HDMI 502,377.12,2025-05-11
633,Impresora 282,571.05,2024-01-02
634,Monitor 750,1082.42,2024-09-02
635,Impresora 495,1594.0,2024-04-14
636,SSD 132,1496.76,2024-10-17
637,Parlante 166,4218.68,2024-04-14
638,Memoria USB 393,1723.15,2024-07-19
639,Parlante 917,3153.69,2024-05-23
640,Laptop 109,2575.66,2024-02-19
641,Proyector 637,2402.82,2024-04-06
642,Memoria USB 562,1333.27,2025-04-12
643,Impresora 287,1364.1,2025-04-12
644,Micrófono 316,3015.99,2024-12-14
645,Smartphone 270,1651.73,2024-03-27
646,Disco Duro 728,888.69,2024-08-07
647,Impresora 459,3242.7,2025-01-20
648,Mouse Pad 326,2196.89,2024-10-09
649,Laptop 545,4028.12,2024-02-15
650,Micrófono 355,2562.89,2024-07-19
651,Micrófono 407,4965.23,2024-07-14
652,SSD 166,1113.99,2025-04-03
653,Auriculares 605,3089.94,2025-03-12
