id,x,y,z,nombre
610,575,586,36,Caja M
611,990,481,43,Caja N
612,760,695,46,Caja O
613,687,725,15,Caja P
614,621,807,66,Caja Q
615,448,375,46,Caja R
616,608,766,74,Caja S
617,987,404,18,Caja T
618,44,39,82,Caja U
619,803,123,41,Caja V
620,487,917,58,Caja W
621,875,58,43,Caja X
622,875,48,2,Caja Y
623,282,846,49,Caja Z
624,611,583,29,Caja A
625,934,659,36,Caja B
626,974,414,25,Caja C
627,159,207,66,Caja D
628,963,443,19,Caja E
629,177,301,84,Caja F
630,15,924,64,Caja G
631,317,871,74,Caja H
632,286,793,1,Caja I
633,236,877,37,Caja J
634,868,132,44,Caja K
635,83,891,15,Caja L
636,30,138,90,Caja M
637,360,912,56,Caja N
638,310,595,74,Caja O
639,280,699,31,Caja P
640,640,951,92,Caja Q
641,550,473,94,Caja R
642,805,847,77,Caja S
643,363,137,31,Caja T
644,621,973,13,Caja U
645,492,375,57,Caja V
646,866,543,80,Caja W
647,945,979,52,Caja X
648,300,92,49,Caja Y
649,284,379,63,Caja Z
650,703,550,9,Caja A
651,674,355,87,Caja B
652,718,961,28,Caja C
653,731,867,61,Caja D
654,790,388,70,Caja E
655,783,584,53,Caja F
656,32,436,93,Caja G
657,892,852,26,Caja H
658,169,116,14,Caja I
659,947,219,57,Caja J
660,941,323,8,Caja K
661,209,131,15,Caja L
662,313,109,20,Caja M
663,31,674,74,Caja N
664,119,161,25,Caja O
665,228,954,26,Caja P
666,872,363,68,Caja Q
667,484,83,20,Caja R
668,390,791,35,Caja S
669,954,304,23,Caja T
670,38,21,84,Caja U
671,473,933,9,Caja V
672,749,313,36,Caja W
673,558,703,60,Caja X
674,762,339,83,Caja Y
675,670,529,24,Caja Z
676,66,182,15,Caja A
677,575,847,96,Caja B
678,217,413,36,Caja C
679,33,638,4,Caja D
680,94,124,20,Caja E
681,504,498,40,Caja F
682,57,28,78,Caja G
683,675,283,83,Caja H
684,135,737,83,Caja I
685,162,236,71,Caja J
686,440,860,100,Caja K
687,829,395,26,Caja L
688,830,661,48,Caja M
689,544,778,61,Caja N
690,450,595,1,Caja O
691,505,1,77,Caja P
692,200,736,64,Caja Q
693,168,797,41,Caja R
694,616,413,41,Caja S
695,127,564,10,Caja T
696,828,667,86,Caja U
697,813,560,78,Caja V
698,659,237,71,Caja W
699,14,169,83,Caja X
700,674,749,51,Caja Y
701,391,665,28,Caja Z
702,367,298,97,Caja A
703,25,246,10,Caja B
704,864,54,77,Caja C
705,812,415,18,Caja D
706,566,956,41,Caja E
707,342,150,82,Caja F
708,732,821,29,Caja G
709,408,262,31,Caja H
710,510,674,4,Caja I
711,708,993,74,Caja J
712,209,303,12,Caja K
713,55,651,98,Caja L
714,354,96,53,Caja M
715,639,455,51,Caja N
716,492,60,98,Caja O
717,489,221,40,Caja P
718,905,491,9,Caja Q
719,364,398,73,Caja R
720,961,294,92,Caja S
721,41,669,49,Caja T
722,434,505,9,Caja U
723,853,35,71,Caja V
724,160,99,78,Caja W
725,350,323,74,Caja X
726,67,295,60,Caja Y
727,7,376,45,Caja Z
728,840,754,77,Caja A
729,862,808,79,Caja B
730,779,538,1,Caja C
731,3,390,71,Caja D
732,151,633,76,Caja E
733,393,742,47,Caja F
734,572,307,52,Caja G
735,420,981,36,Caja H
736,554,356,28,Caja I
737,22,514,36,Caja J
738,225,228,45,Caja K
739,417,480,38,Caja L
740,643,597,30,Caja M
741,657,398,5,Caja N
742,233,745,39,Caja O
743,285,184,84,Caja P
744,744,83,56,Caja Q
745,422,473,58,Caja R
746,851,227,11,Caja S
747,366,937,32,Caja T
748,888,33,66,Caja U
749,570,559,74,Caja V
750,178,742,36,Caja W
751,928,186,88,Caja X
752,71,787,52,Caja Y
753,203,736,24,Caja Z
754,879,379,37,Caja A
755,199,231,21,Caja B
756,154,17,36,Caja C
757,97,407,52,Caja D
758,687,955,33,Caja E
759,675,794,89,Caja F
760,44,923,76,Caja G
761,757,480,74,Caja H
762,347,938,76,Caja I
763,209,740,7,Caja J
764,720,67,98,Caja K
765,481,191,62,Caja L
766,733,746,87,Caja M
767,478,167,30,Caja N
768,335,105,69,Caja O
769,24,817,91,Caja P
770,224,760,1,Caja Q
771,294,421,91,Caja R
772,560,620,43,Caja S
773,917,187,38,Caja T
774,321,452,3,Caja U
775,829,331,12,Caja V
776,124,194,8,Caja W
777,250,523,75,Caja X
778,443,375,23,Caja Y
779,905,239,1,Caja Z
780,506,23,94,Caja A
781,969,301,44,Caja B
782,764,867,59,Caja C
783,569,49,99,Caja D
784,881,234,56,Caja E
785,566,124,91,Caja F
786,789,32,59,Caja G
787,489,874,7,Caja H
788,201,745,65,Caja I
789,775,962,52,Caja J
790,190,184,58,Caja K
791,382,580,61,Caja L
792,971,837,14,Caja M
793,307,612,29,Caja N
794,448,277,37,Caja O
795,604,210,40,Caja P
796,543,691,50,Caja Q
797,947,620,18,Caja R
798,223,546,97,Caja S
799,109,541,58,Caja T
800,379,509,39,Caja U
801,114,708,1,Caja V
802,994,407,87,Caja W
803,358,30,30,Caja X
804,462,960,1,Caja Y
805,360,306,74,Caja Z
806,678,198,23,Caja A
807,847,968,60,Caja B
808,350,165,12,Caja C
809,240,480,73,Caja D
810,601,834,4,Caja E
811,725,751,48,Caja F
812,52,967,100,Caja G
813,262,340,8,Caja H
814,221,387,95,Caja I
815,798,578,36,Caja J
816,67,792,37,Caja K
817,752,408,93,Caja L
818,98,807,47,Caja M
819,226,624,23,Caja N
820,208,251,58,Caja O
821,240,763,47,Caja P
822,839,382,97,Caja Q
823,654,198,47,Caja R
824,872,968,33,Caja S
825,760,732,79,Caja T
826,965,384,3,Caja U
827,120,754,86,Caja V
828,303,184,35,Caja W
829,104,812,51,Caja X
830,578,627,80,Caja Y
831,879,378,81,Caja Z
832,24,140,11,Caja A
833,390,88,15,Caja B
834,485,348,2,Caja C
835,574,451,9,Caja D
836,51,558,2,Caja E
837,754,192,12,Caja F
838,733,819,93,Caja G
839,765,452,92,Caja H
840,949,16,5,Caja I
841,604,129,92,Caja J
842,340,904,54,Caja K
843,661,96,79,Caja L
844,293,604,98,Caja M
845,677,778,29,Caja N
846,355,357,24,Caja O
847,44,950,28,Caja P
848,588,786,85,Caja Q
849,983,832,54,Caja R
850,983,721,63,Caja S
851,885,867,90,Caja T
852,198,606,85,Caja U
853,596,189,22,Caja V
854,20,198,82,Caja W
855,337,199,94,Caja X
856,126,658,30,Caja Y
857,982,473,49,Caja Z
858,311,477,72,Caja A
859,369,61,67,Caja B
860,777,301,13,Caja C
861,282,65,82,Caja D
862,740,412,60,Caja E
863,415,643,63,Caja F
864,625,678,55,Caja G
865,954,191,81,Caja H
866,923,514,90,Caja I
867,894,489,65,Caja J
868,759,603,63,Caja K
869,157,835,64,Caja L
870,278,272,74,Caja M
871,81,614,7,Caja N
872,265,361,43,Caja O
873,593,382,81,Caja P
874,679,695,93,Caja Q
875,109,168,56,Caja R
876,183,338,80,Caja S
877,916,289,14,Caja T
878,102,659,92,Caja U
879,163,384,84,Caja V
880,175,94,72,Caja W
881,854,912,48,Caja X
882,106,163,20,Caja Y
883,643,860,66,Caja Z
884,939,219,67,Caja A
885,388,310,10,Caja B
886,589,370,92,Caja C
887,859,664,95,Caja D
888,706,444,84,Caja E
889,905,628,89,Caja F
890,128,988,70,Caja G
891,549,946,92,Caja H
892,384,653,71,Caja I
893,891,425,49,Caja J
894,66,848,57,Caja K
895,854,564,37,Caja L
896,940,226,86,Caja M
897,581,79,78,Caja N
898,723,75,51,Caja O
899,158,1000,96,Caja P
900,506,688,82,Caja Q
901,583,332,36,Caja R
902,473,802,17,Caja S
903,742,34,100,Caja T
904,265,902,10,Caja U
905,425,744,11,Caja V
906,522,311,19,Caja W
907,864,243,52,Caja X
908,821,996,4,Caja Y
909,879,292,20,Caja Z
910,462,333,66,Caja A
911,464,565,41,Caja B
912,556,915,71,Caja C
913,937,250,72,Caja D
914,590,934,72,Caja E
915,767,874,93,Caja F
916,460,229,55,Caja G
917,300,258,64,Caja H
918,75,792,97,Caja I
919,772,447,82,Caja J
920,181,581,62,Caja K
921,909,409,18,Caja L
922,628,386,4,Caja M
923,813,282,71,Caja N
924,240,366,86,Caja O
925,344,427,51,Caja P
926,540,870,72,Caja Q
927,95,906,21,Caja R
928,658,88,64,Caja S
929,662,215,13,Caja T
930,330,152,45,Caja U
931,630,263,62,Caja V
932,531,701,39,Caja W
933,885,318,92,Caja X
934,735,588,46,Caja Y
935,367,234,46,Caja Z
936,548,782,75,Caja A
937,833,991,28,Caja B
938,945,570,98,Caja C
939,389,174,37,Caja D
940,744,529,86,Caja E
941,765,244,36,Caja F
942,654,246,9,Caja G
943,963,493,81,Caja H
944,808,182,56,Caja I
945,64,528,47,Caja J
946,804,119,95,Caja K
947,531,811,45,Caja L
948,749,398,22,Caja M
949,865,659,49,Caja N
950,583,138,8,Caja O
951,134,462,35,Caja P
952,31,19,49,Caja Q
953,78,448,25,Caja R
954,752,403,74,Caja S
955,607,504,64,Caja T
956,633,546,15,Caja U
957,375,983,46,Caja V
958,510,694,90,Caja W
959,101,536,55,Caja X
960,91,243,62,Caja Y
961,103,433,3,Caja Z
962,357,265,60,Caja A
963,48,568,25,Caja B
964,630,31,15,Caja C
965,498,849,18,Caja D
966,262,108,69,Caja E
967,719,586,70,Caja F
968,667,603,77,Caja G
969,310,977,45,Caja H
970,904,318,40,Caja I
971,734,467,64,Caja J
972,573,665,30,Caja K
973,954,952,4,Caja L
974,139,578,44,Caja M
975,888,858,78,Caja N
976,375,816,49,Caja O
977,184,659,87,Caja P
978,486,817,45,Caja Q
979,973,96,46,Caja R
980,75,899,65,Caja S
981,891,347,50,Caja T
982,822,980,37,Caja U
983,950,438,89,Caja V
984,216,641,95,Caja W
985,36,256,48,Caja X
986,423,365,68,Caja Y
987,614,134,77,Caja Z
988,66,481,74,Caja A
989,844,30,11,Caja B
990,68,952,54,Caja C
991,66,190,88,Caja D
992,319,775,6,Caja E
993,141,983,100,Caja F
994,210,602,41,Caja G
995,703,632,40,Caja H
996,113,314,37,Caja I
997,89,297,30,Caja J
998,350,674,66,Caja K
999,858,456,65,Caja L
1000,270,805,34,Caja M
1001,104,448,94,Caja N
1002,294,212,56,Caja O
1003,437,313,28,Caja P
1004,751,463,29,Caja Q
1005,310,371,14,Caja R
1006,124,320,3,Caja S
1007,287,124,83,Caja T
1008,588,31,38,Caja U
1009,888,41,95,Caja V
1010,912,655,75,Caja W
1011,136,405,71,Caja X
1012,860,619,17,Caja Y
1013,103,141,68,Caja Z
1014,409,327,25,Caja A
1015,649,583,80,Caja B
1016,412,164,16,Caja C
1017,44,525,37,Caja D
1018,811,714,35,Caja E
1019,368,124,10,Caja F
1020,1,182,93,Caja G
1021,767,850,49,Caja H
1022,789,654,63,Caja I
1023,274,300,100,Caja J
1024,516,921,53,Caja K
1025,241,868,30,Caja L
1026,133,830,37,Caja M
1027,489,107,64,Caja N
1028,166,637,48,Caja O
1029,697,285,44,Caja P
1030,705,529,85,Caja Q
1031,310,866,41,Caja R
1032,416,666,62,Caja S
1033,851,138,24,Caja T
1034,157,474,61,Caja U
1035,764,360,98,Caja V
1036,201,174,62,Caja W
1037,330,146,13,Caja X
1038,371,448,81,Caja Y
1039,492,785,52,Caja Z
1040,499,120,89,Caja A
1041,15,988,48,Caja B
1042,404,587,22,Caja C
1043,142,645,43,Caja D
1044,275,706,38,Caja E
1045,108,847,87,Caja F
1046,385,258,89,Caja G
1047,446,412,69,Caja H
1048,733,198,15,Caja I
1049,481,249,27,Caja J
1050,563,306,17,Caja K
1051,719,771,67,Caja L
1052,84,515,99,Caja M
1053,645,271,34,Caja N
1054,638,999,98,Caja O
1055,750,405,40,Caja P
1056,288,635,33,Caja Q
1057,395,783,94,Caja R
1058,339,9,13,Caja S
1059,537,265,59,Caja T
1060,965,285,82,Caja U
